City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Avg Temp,Wind Speed
barrancabermeja,40,CO,1553374800,78,7.07,-73.85,28,28,28,1.12
hilo,90,US,1553377273,54,19.71,-155.08,26,21.67,23.94,4.1
cidreira,0,BR,1553377003,79,-30.17,-50.22,21.67,21.67,21.67,2.42
georgetown,20,GY,1553374800,70,6.8,-58.16,29,29,29,5.1
impfondo,80,CD,1553377003,91,1.62,18.06,24.87,24.87,24.87,1.32
rikitea,64,PF,1553376743,97,-23.12,-134.97,26.47,26.47,26.47,8.62
voyvozh,12,RU,1553377333,78,62.89,54.96,-4.78,-4.78,-4.78,4.37
namibe,48,AO,1553376884,100,-15.19,12.15,25.72,25.72,25.72,2.42
torbay,90,CA,1553376891,93,47.66,-52.73,5.56,3.89,4.9,2.1
chimore,32,BO,1553377004,78,-16.98,-65.13,25.37,25.37,25.37,0.52
hasaki,20,JP,1553374941,80,35.73,140.83,-1,-2.78,-1.94,1.5
pyshma,0,RU,1553377334,62,56.95,63.25,-8.83,-8.83,-8.83,1.22
bredasdorp,44,ZA,1553376690,83,-34.53,20.04,21,19.44,20.07,1
mogadishu,76,SO,1553376913,100,2.04,45.34,27.47,27.47,27.47,6.62
busselton,68,AU,1553376810,56,-33.64,115.35,11.67,8.89,10.58,5.67
hermanus,76,ZA,1553376690,91,-34.42,19.24,19.44,18.89,19.13,1.52
saskylakh,0,RU,1553377005,38,71.97,114.09,-31.88,-31.88,-31.88,1.32
new norfolk,20,AU,1553377334,72,-42.78,147.06,18.89,13.89,16.37,3.6
praia da vitoria,75,PT,1553376837,81,38.73,-27.07,12.22,12,12.12,13.47
hobart,20,AU,1553377214,72,-42.88,147.33,18.89,13.89,16.37,3.6
sao joao da barra,75,BR,1553374800,78,-21.64,-41.05,26,26,26,3.1
cape town,0,ZA,1553376790,88,-33.93,18.42,21.11,17.78,19.12,4.1
sarakhs,0,TM,1553374800,87,36.54,61.16,9,9,9,2.1
punta arenas,75,CL,1553376791,76,-53.16,-70.91,12,11.67,11.82,4.6
barrow,80,AR,1553377007,96,-38.31,-60.23,18.02,18.02,18.02,6.37
puerto ayora,20,EC,1553376689,74,-0.74,-90.35,29,26.67,27.83,5.1
albany,1,US,1553376840,40,42.65,-73.75,4.44,-2.22,1.31,8.7
sitka,0,US,1553376707,43,37.17,-99.65,18.89,18.89,18.89,3.13
russell,0,AR,1553374800,32,-33.01,-68.8,28,28,28,2.1
jamestown,92,AU,1553377008,86,-33.21,138.6,17.92,17.92,17.92,4.67
cherdyn,64,RU,1553377337,92,60.4,56.48,-2.63,-2.63,-2.63,2.97
mackenzie,90,CA,1553374800,94,55.34,-123.09,8,8,8,3.1
dikson,88,RU,1553376735,93,73.51,80.55,-7.63,-7.63,-7.63,9.52
tasiilaq,0,GL,1553374200,56,65.61,-37.64,-11,-11,-11,5.7
bowen,75,AU,1553377312,94,-20.01,148.25,25.56,24,24.79,2.6
leningradskiy,88,RU,1553377339,86,69.38,178.42,-21.23,-21.23,-21.23,9.07
ushuaia,75,AR,1553374800,66,-54.81,-68.31,13,13,13,2.6
cap malheureux,75,MU,1553377140,78,-19.98,57.61,28,26.67,27.38,5.7
